epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1318.39,1.57437,3.7716,1.59322,0.24685,0.29901,0.28011,0.20014,0.81215,6.94696,1.07665,0.00090615,0.00030205,0.00090615,0.00030205,0.00090615,0.00030205,0.00090615,0.00030205
2,2615.11,0.96695,1.427,1.20258,0.60754,0.51999,0.54656,0.38447,0.63859,2.42558,0.98705,0.00179269,0.000597563,0.00179269,0.000597563,0.00179269,0.000597563,0.00179269,0.000597563
3,4385.65,0.85672,0.91847,1.12913,0.67015,0.61659,0.65172,0.46004,0.62356,1.29564,0.96845,0.00265673,0.000885576,0.00265673,0.000885576,0.00265673,0.000885576,0.00265673,0.000885576
4,6063.31,0.83496,0.75358,1.10107,0.70958,0.6936,0.71127,0.51156,0.60833,0.45215,0.97231,0.00262576,0.000875253,0.00262576,0.000875253,0.00262576,0.000875253,0.00262576,0.000875253
5,7802.58,0.80294,0.65718,1.08399,0.80049,0.65832,0.75539,0.55172,0.58503,0.37425,0.9355,0.00259201,0.000864004,0.00259201,0.000864004,0.00259201,0.000864004,0.00259201,0.000864004
6,10545,0.78396,0.60062,1.06805,0.79687,0.71974,0.78554,0.57918,0.57142,0.35031,0.93605,0.00255827,0.000852756,0.00255827,0.000852756,0.00255827,0.000852756,0.00255827,0.000852756
7,12164.6,0.75735,0.56038,1.06097,0.81882,0.70887,0.80226,0.59168,0.57483,0.54114,0.92956,0.00252452,0.000841507,0.00252452,0.000841507,0.00252452,0.000841507,0.00252452,0.000841507
8,13893.6,0.75871,0.55046,1.05314,0.84762,0.75092,0.8386,0.62039,0.56934,0.33815,0.9239,0.00249077,0.000830258,0.00249077,0.000830258,0.00249077,0.000830258,0.00249077,0.000830258
9,15272.6,0.74479,0.52585,1.0566,0.79702,0.78164,0.81636,0.60168,0.56452,0.33226,0.94253,0.00245703,0.000819009,0.00245703,0.000819009,0.00245703,0.000819009,0.00245703,0.000819009
10,15943.4,0.73865,0.51529,1.05296,0.82455,0.73774,0.81574,0.60856,0.56205,0.34548,0.94058,0.00242328,0.00080776,0.00242328,0.00080776,0.00242328,0.00080776,0.00242328,0.00080776
11,16870.8,0.71954,0.4893,1.03226,0.82299,0.76802,0.82861,0.62067,0.55819,0.32568,0.92341,0.00238953,0.000796511,0.00238953,0.000796511,0.00238953,0.000796511,0.00238953,0.000796511
